20170901;25364
20170902;20638
20170903;30635
20170904;69056
20170905;82129
20170906;86344
20170907;80695
20170908;62050
20170909;40743
20170910;59457
20170911;115338
20170912;108719
20170913;103155
20170914;88600
20170915;64517
20170916;36904
20170917;52503
20170918;117599
20170919;110085
20170920;106751
20170921;100009
20170922;70078
20170923;47584
20170924;81344
20170925;175786
20170926;186332
20170927;182731
20170928;159616
20170929;100955
20170930;69995
20171001;103325
20171002;197055
20171003;194085
20171004;157484
20171005;157443
20171006;111221
20171007;70847
20171008;111113
20171009;194928
20171010;159838
20171011;129267
20171012;77600
20171013;92160
20171014;64322
20171015;106464
20171016;197391
20171017;185424
20171018;171844
20171019;159008
20171020;110321
20171021;73739
20171022;111865
20171023;190150
20171024;182110
20171025;172366
20171026;149283
20171027;102226
20171028;68263
20171029;110456
20171030;175992
20171031;125228
20171101;103602
20171102;164369
20171103;108374
20171104;74011
20171105;104723
20171106;178065
20171107;169009
20171108;130214
20171109;88292
20171110;92705
20171111;64091
20171112;99523
20171113;172925
20171114;170293
20171115;160478
20171116;142797
20171117;102228
20171118;66907
20171119;102066
20171120;175849
20171121;167558
20171122;152620
20171123;128792
20171124;93556
20171125;66561
20171126;103054
20171127;177952
20171128;162162
20171129;148974
20171130;143176
20171201;97258
20171202;63366
20171203;95657
20171204;158203
20171205;120934
20171206;65433
20171207;66293
20171208;58361
20171209;60797
20171210;97429
20171211;171542
20171212;157305
20171213;146108
20171214;138233
20171215;102179
20171216;68843
20171217;100403
20171218;160751
20171219;149792
20171220;131876
20171221;104517
20171222;68074
20171223;52468
20171224;36361
20171225;34238
20171226;83409
20171227;77095
20171228;69952
20171229;60773
20171230;45514
20171231;25462
20180101;24324
20180102;88112
20180103;81885
20180104;77332
20180105;64055
20180106;50011
20180107;100525
20180108;173484
20180109;164065
20180110;164182
20180111;153579
20180112;122415
20180113;95562
20180114;110407
20180115;182123
20180116;176814
20180117;177171
20180118;169646
20180119;134977
20180120;99140
20180121;123780
20180122;200249
20180123;201700
20180124;197908
20180125;166897
20180126;118087
20180127;99134
20180128;127913
20180129;215275
20180130;199286
20180131;182519
20180201;175353
20180202;131885
20180203;87678
20180204;121228
20180205;189299
20180206;182690
20180207;173861
20180208;155128
20180209;108926
20180210;59973
20180211;92447
20180212;210412
20180213;206377
20180214;172396
20180215;162287
20180216;106171
20180217;58132
20180218;90826
20180219;193949
20180220;179671
20180221;166404
20180222;142948
20180223;95437
20180224;51859
20180225;83325
20180226;167391
20180227;156389
20180228;147475
20180301;132685
20180302;87224
20180303;55510
20180304;83806
20180305;157427
20180306;141522
20180307;127991
20180308;87581
20180309;82288
20180310;54221
20180311;81431
20180312;153441
20180313;145586
20180314;136597
20180315;116419
20180316;79494
20180317;50217
20180318;73332
20180319;143030
20180320;135049
20180321;121276
20180322;90228
20180323;46879
20180324;32247
20180325;30036
20180326;49007
20180327;40763
20180328;35968
20180329;30631
20180330;30096
20180331;30677
20180401;41431
20180402;87094
20180403;140655
20180404;134539
20180405;121827
20180406;80211
20180407;52851
20180408;77651
20180409;149861
20180410;134127
20180411;125952
20180412;116999
20180413;79852
20180414;49735
20180415;72856
20180416;139732
20180417;128498
20180418;125192
20180419;110640
20180420;75386
20180421;48874
20180422;73737
20180423;140534
20180424;132538
20180425;119579
20180426;88869
20180427;67904
20180428;42822
20180429;47880
20180430;63136
20180501;58300
20180502;85393
20180503;136047
20180504;97141
20180505;64404
20180506;83412
20180507;153619
20180508;112163
20180509;136838
20180510;135684
20180511;100777
20180512;63395
20180513;81778
20180514;127710
20180515;103597
20180516;139340
20180517;132341
20180518;83368
20180519;76513
20180520;95205
20180521;155006
20180522;149032
20180523;139814
20180524;136940
20180525;109146
20180526;79378
20180527;104210
20180528;163558
20180529;156249
20180530;144665
20180531;136169
20180601;108721
20180602;82645
20180603;100835
20180604;155500
20180605;139193
20180606;137015
20180607;121521
20180608;106273
20180609;69715
20180610;83988
20180611;130015
20180612;120848
20180613;108759
20180614;96899
20180615;76664
20180616;51287
20180617;60295
20180618;108333
20180619;101111
20180620;87396
20180621;79452
20180622;62814
20180623;41188
20180624;47209
20180625;77859
20180626;74361
20180627;67135
20180628;59544
20180629;51591
20180630;26036
20180701;28494
20180702;62630
20180703;51158
20180704;42431
20180705;38579
20180706;30252
20180707;13019
20180708;14903
20180709;31966
20180710;23073
20180711;19550
20180712;18223
20180713;14868
20180714;5834
20180715;6111
20180716;14296
20180717;12329
20180718;10161
20180719;5775
20180720;8402
20180721;3601
20180722;4370
20180723;10957
20180724;9339
20180725;8122
20180726;7662
20180727;6085
20180728;3515
20180729;3667
20180730;6414
20180731;8360
20180801;8045
20180802;7392
20180803;6083
20180804;4099
20180805;4017
20180806;7358
20180807;7484
20180808;6909
20180809;6367
20180810;5275
20180811;4196
20180812;4165
20180813;7972
20180814;7153
20180815;5656
20180816;7463
20180817;6807
20180818;5271
20180819;5890
20180820;11287
20180821;11542
20180822;11542
20180823;11042
20180824;9395
20180825;7715
20180826;6339
20180827;17921
20180828;19190
20180829;19253
20180830;21145
20180831;21352
20180901;25364
20180902;20638
20180903;30635
20180904;69056
20180905;82129
20180906;86344
20180907;80695
20180908;62050
20180909;40743
20180910;59457
20180911;115338
20180912;108719
20180913;103155
20180914;88600
20180915;64517
20180916;36904
20180917;52503
20180918;117599
20180919;110085
20180920;106751
20180921;100009
20180922;70078
20180923;47584
20180924;81344
20180925;175786
20180926;186332
20180927;182731
20180928;159616
20180929;100955
20180930;69995
20181001;103325
20181002;197055
20181003;194085
20181004;157484
20181005;157443
20181006;111221
20181007;70847
20181008;111113
20181009;194928
20181010;159838
20181011;129267
20181012;77600
20181013;92160
20181014;64322
20181015;106464
20181016;197391
20181017;185424
20181018;171844
20181019;159008
20181020;110321
20181021;73739
20181022;111865
20181023;190150
20181024;182110
20181025;172366
20181026;149283
20181027;102226
20181028;68263
20181029;110456
20181030;175992
20181031;125228
20181101;103602
20181102;164369
20181103;108374
20181104;74011
20181105;104723
20181106;178065
20181107;169009
20181108;130214
20181109;88292
20181110;92705
20181111;64091
20181112;99523
20181113;172925
20181114;170293
20181115;160478
20181116;142797
20181117;102228
20181118;66907
20181119;102066
20181120;175849
20181121;167558
20181122;152620
20181123;128792
20181124;93556
20181125;66561
20181126;103054
20181127;177952
20181128;162162
20181129;148974
20181130;143176
20181201;97258
20181202;63366
20181203;95657
20181204;158203
20181205;120934
20181206;65433
20181207;66293
20181208;58361
